identification_number,campus_location,name,number,floors_id,geographical_location_id,address
b-5389,2,"Maschinenbau, Altes Maschinenbaugebäude",10.91,5389,5389,Engelbert-Arnold-Straße 4
b-5382,2,"Wasserwirtschaft und Kulturtechnik, Institutsgebäude",10.83,5382,5382,Engesserstraße 22
b-5431,2,"Therm.Strömungsmaschinen / Techn.Thermodynamik, Anbau",30.61,5431,5431,Straße am Forum 6
b-5336,2,Kronenstraße 30,01.92,5336,5336,Kronenstraße 30
b-30169,0,Werkstattgebäude mit Technikumshalle [TEC],0245,30169,30169,Hermann-von-Helmholtz-Platz 1
b-47599,2,KinderUniversum,50.26,47599,47599,Karl-Wilhelm-Straße 1
b-5414,2,Physik-Flachbau,30.22,5414,5414,Engesserstraße 7
b-5423,2,Chemie-Flachbau,30.41,5423,5423,Fritz-Haber-Weg 2-6
b-5391,2,"Fördertechnik / wbk, Laborhalle",10.93,5391,5391,Engelbert-Arnold-Straße 8
b-24590,2,Emmy-Noether-Straße 11,07.40,24590,24590,Emmy-Noether-Straße 11
b-5405,2,Winkelwohnblock E2,20.50,5405,5405,Engesserstraße 2
b-30327,0,Sanitärcontainer KATRIN [IKP],0467,30327,30327,Hermann-von-Helmholtz-Platz 1
b-5461,2,"Technische Thermodynamik und Kältetechnik, Versuchshalle",40.31,5461,5461,Engler-Bunte-Ring 21
b-30166,0,Büro-/Laborgebäude [IPE],0242,30166,30166,Hermann-von-Helmholtz-Platz 1
b-30167,0,Technik-Haus [TEC],0243,30167,30167,Hermann-von-Helmholtz-Platz 1
b-5358,2,"Zoologisches Institut, Container",07.03,5358,5358,Kornblumenstraße 13
b-5422,2,"Hochspannungstechnik, Laborhalle",30.36,5422,5422,Engesserstraße 11a
b-23792,2,Vincenz-Prießnitz-Straße 3,07.08,23792,23792,Vincenz-Prießnitz-Straße 3
b-5427,2,Chemie-Turm III - Anorganische Chemie (AC),30.45,5427,5427,Engesserstraße 15
b-5356,2,"Zoologisches Institut, Institutsgebäude",07.01,5356,5356,Kornblumenstraße 13
b-5357,2,"Zoologisches Institut, Lager",07.02,5357,5357,Kornblumenstraße 13
b-5425,2,Chemie-Turm I,30.43,5425,5425,Fritz-Haber-Weg 4
b-30247,0,Abwassersammelstation [FM],0400,30247,30247,Hermann-von-Helmholtz-Platz 1
b-30248,0,"Büro-/Laborgebäude u. Technikumshalle [ITEP, IKP]",0401,30248,30248,Hermann-von-Helmholtz-Platz 1
b-5387,2,"Wasserwirtschaft und Kulturtechnik, Anbau",10.88,5387,5387,Ernst-Gaber-Straße 4a
b-5330,2,Mensa und Studentenhaus,01.12,5330,5330,Adenauerring 7
b-5339,2,Kaiserstraße 53,01.95,5339,5339,Kaiserstraße 53
b-5447,2,Engler-Bunte-Institut (EBI) - Werkstattgebäude,40.15,5447,5447,Engler-Bunte-Ring 11a
b-24451,2,Physik-Werkstattgebäude,30.24,24451,24451,Wolfgang-Gaede-Straße 3
b-5442,2,"Engler-Bunte-Institut (EBI) - Wasserchemie, Anbau",40.04,5442,5442,Engler-Bunte-Ring 9a
b-22066,2,Wasserrückkühlanlage,30.62,22066,22066,Straße am Forum 6
b-30235,0,Technikumshalle ANKA [ISS],0348,30235,30235,Hermann-von-Helmholtz-Platz 1
b-30236,0,Kälteanlage ANKA [ISS],0349,30236,30236,Hermann-von-Helmholtz-Platz 1
b-30237,0,Laborgebäude ZAG [ISS],0351,30237,30237,Hermann-von-Helmholtz-Platz 1
b-30230,0,Verfügungsgebäude [ITG],0341,30230,30230,Hermann-von-Helmholtz-Platz 1
b-5435,2,Altes Stadiongebäude / Studentenzentrum AKK,30.81,5435,5435,Engesserstraße 17
b-30234,0,Gasflaschen- u. Gerätelager [ITG],0347,30234,30234,Hermann-von-Helmholtz-Platz 1
b-5428,2,Chemie-Hörsaalgebäude,30.46,5428,5428,Engesserstraße 15
b-30238,0,Zyklotron Laborgebäude [ISS],0352,30238,30238,Hermann-von-Helmholtz-Platz 1
b-30231,0,Abwassersammelstation [FM],0343,30231,30231,Hermann-von-Helmholtz-Platz 1
b-30232,0,"Gasflaschenlager, Süd-West Bau 351/8 [ZAG]",0344,30232,30232,Hermann-von-Helmholtz-Platz 1
