id,highest_floor,lowest_floor
54379,4,-1
5468,-1,-1
5337,1,1
5439,1,0
5435,2,-1
5424,5,-1
5397,2,0
5377,1,-1
5353,-1,-1
5478,1,-1
5387,1,-1
5484,2,-1
5419,6,-1
5430,2,-1
5350,3,-1
59129,2,-1
27731,4,2
5452,1,-1
5423,1,-1
22119,1,0
5374,8,-1
5351,2,0
5372,1,0
5367,8,-1
5414,2,-1
5461,1,-1
5451,1,-2
5368,3,0
5356,2,-1
5338,1,1
5480,1,-1
5520,3,0
5401,3,-2
5437,1,0
50639,5,1
5463,1,-1
5441,2,-1
5475,1,0
5398,2,0
30731,5,5
5482,2,-1
5409,3,3
5375,-1,-1
29780,1,1
5371,1,0
5389,3,-1
5385,1,0
5345,2,-1
31080,1,0
50519,4,-1
5470,3,-1
5396,1,0
5481,1,-1
5422,4,-1
5364,2,-1
5453,1,0
5393,1,-1
5399,2,0
5370,1,0
5444,1,-1
5346,2,0
5403,3,-1
5488,1,-1
27732,5,1
5429,12,-1
5432,2,-1
5521,3,-1
30126,0,0
56319,0,0
30280,0,0
5363,0,0
30230,0,0
30235,0,0
30210,0,0
30214,0,0
22112,0,0
30413,0,0
30408,0,0
51679,3,-1
5352,2,-1
5442,1,-1
5464,2,-1
5365,2,0
26450,1,0
23792,3,3
24451,2,-1
5476,7,0
5394,1,-1
47599,3,-1
5460,1,-1
5379,1,-1
5340,4,0
5449,1,1
5334,2,2
5415,15,-1
5400,3,-1
5459,1,-1
5427,6,-1
5458,1,0
57579,2,0
5354,-1,-1
5392,1,-1
24670,2,-1
5366,3,0
5361,1,-1
46880,1,1
30138,2,1
5445,2,-1
5467,1,0
5425,8,-1
5426,8,-1
5431,1,1
5330,3,0
5359,3,-1
22115,3,0
5410,3,-2
5417,-1,-1
5391,1,-1
5335,1,1
5384,1,0
5420,4,-1
5462,2,-1
5380,4,0
20651,3,-1
5477,1,-1
23791,4,4
5446,1,-2
5523,2,-1
5440,1,0
5382,1,0
51359,2,0
5362,4,-1
55359,3,-1
5373,2,-1
47539,5,5
30754,0,0
29860,0,0
5336,0,0
5357,0,0
5355,0,0
30195,0,0
30194,0,0
5490,2,0
22170,3,0
5347,3,-1
5386,1,1
5483,3,-1
5516,2,-1
5413,2,0
5479,3,-1
5390,1,-1
5519,3,0
5360,1,-1
5471,2,-1
5518,2,0
5348,3,0
5466,0,0
5438,0,0
5421,0,-1
5487,0,0
50399,0,0
5436,0,0
5433,0,0
5447,0,0
5472,0,0
5349,0,0
5339,0,0
47639,0,0
5465,0,0
5456,0,0
5485,0,-1
5369,0,0
5448,0,0
5376,0,0
5388,0,-1
5428,0,-1
5358,0,0
5457,0,-1
5344,0,0
5343,0,0
24590,0,0
30252,0,0
30225,0,0
30224,0,0
30233,0,0
22124,0,0
22123,0,0
31009,0,0
30213,0,0
22113,0,0
30223,0,0
30325,0,0
30414,0,0
30415,0,0
30409,0,0
30410,0,0
30411,0,0
30404,0,0
30405,0,0
30406,0,0
30400,0,0
30401,0,0
30403,0,0
50520,0,0
30412,0,0
30424,0,0
30426,0,0
46819,0,0
30316,0,0
30422,0,0
30423,0,0
30127,0,0
30417,0,0
30125,0,0
30419,0,0
30444,0,0
30445,0,0
30447,0,0
30442,0,0
30443,0,0
30436,0,0
30437,0,0
30438,0,0
30460,0,0
30461,0,0
30462,0,0
30456,0,0
30457,0,0
30458,0,0
30459,0,0
30285,0,0
30453,0,0
30448,0,0
30449,0,0
30450,0,0
30390,0,0
30389,0,0
22064,0,0
22065,0,0
22066,0,0
30344,0,0
30392,0,0
30399,0,0
30340,0,0
30342,0,0
30343,0,0
30336,0,0
30337,0,0
30338,0,0
30339,0,0
30179,0,0
30367,0,0
30360,0,0
30362,0,0
30358,0,0
30359,0,0
26210,0,0
59900,0,0
32179,0,0
30371,0,0
29779,0,0
5493,0,0
22930,0,0
30396,0,0
30549,0,0
30140,0,0
30141,0,0
30142,0,0
30143,0,0
30136,0,0
30137,0,0
