id,latitude,longitude
5330,49.01132,8.41734
5334,49.00956,8.41032
5335,49.00962,8.41091
5336,49.00831,8.40903
5337,49.00823,8.40911
5338,49.00813,8.4092
5339,49.00909,8.41226
5340,49.00889,8.41133
5343,49.02245,8.36713
5344,49.02205,8.36728
5345,49.02152,8.36688
5346,49.02106,8.36698
5347,49.02194,8.36627
5348,49.02118,8.36605
5349,49.02186,8.36816
5350,49.02178,8.36753
5351,49.02139,8.36821
5352,49.02067,8.36734
5353,49.02048,8.36783
5354,49.02051,8.36748
5355,49.02034,8.36728
5356,49.01445,8.42426
5357,49.01445,8.42426
5358,49.01445,8.42426
5359,49.01254,8.42519
5360,49.01308,8.42663
5361,49.01308,8.42663
5362,49.00717,8.40373
5363,49.01318,8.39838
5364,49.00938,8.41224
5365,49.00977,8.41176
5366,49.0096,8.41317
5367,49.00952,8.41432
5368,49.00966,8.41551
5369,49.00948,8.41496
5370,49.00924,8.41511
5371,49.00945,8.41599
5372,49.00923,8.41584
5373,49.00931,8.41665
5374,49.00966,8.41689
5375,49.01024,8.41743
5376,49.01059,8.41746
5377,49.01031,8.41701
5378,49.00991,8.41736
5379,49.00993,8.41611
5380,49.01014,8.4153
5381,49.01051,8.41551
5382,49.01073,8.41509
5383,49.01055,8.41592
5384,49.01053,8.41656
5385,49.01005,8.41649
5386,49.01004,8.41701
5387,49.01039,8.4164
5388,49.01039,8.4164
5389,49.00991,8.41278
5390,49.01028,8.41315
5391,49.01025,8.41356
5392,49.0102,8.41395
5393,49.01021,8.41439
5394,49.00985,8.41424
5396,49.01306,8.40637
5397,49.01262,8.40681
5398,49.01228,8.40725
5399,49.01199,8.40764
5400,49.01236,8.40825
5401,49.01203,8.40811
5403,49.01085,8.41084
5405,49.0125,8.40877
5406,49.01238,8.4091
5407,49.01226,8.40944
5408,49.01211,8.40943
5409,49.01192,8.40929
5410,49.01282,8.40969
5411,49.01303,8.40979
5412,49.01305,8.4091
5413,49.01218,8.41148
5414,49.01238,8.41084
5415,49.01285,8.41087
5417,49.01244,8.41335
5419,49.0122,8.41297
5420,49.01148,8.4129
5421,49.01173,8.41267
5422,49.01168,8.41235
5423,49.01207,8.41378
5424,49.01303,8.41422
5425,49.0124,8.41454
5426,49.01194,8.4144
5427,49.01134,8.41347
5428,49.01165,8.41414
5429,49.01125,8.41638
5430,49.01239,8.41651
5431,49.0123,8.4175
5432,49.0131,8.41673
5433,49.01332,8.4171
5435,49.01105,8.41493
5436,49.01337,8.41423
5437,49.0132,8.41354
5438,49.0128,8.41341
5439,49.01251,8.41569
5440,49.01306,8.41592
5441,49.01437,8.41515
5442,49.01525,8.41445
5444,49.0144,8.41483
5445,49.01491,8.41502
5446,49.01504,8.41424
5447,49.01519,8.4151
5448,49.01541,8.41512
5449,49.01565,8.41425
5451,49.01458,8.41421
5452,49.01414,8.41542
5453,49.01405,8.41625
5454,49.01424,8.41625
5455,49.01436,8.41603
5456,49.01467,8.41607
5457,49.0146,8.41587
5458,49.01448,8.41551
5459,49.01524,8.41587
5460,49.01472,8.41546
5461,49.01413,8.41709
5462,49.01463,8.41726
5463,49.01492,8.4168
5464,49.01557,8.41644
5465,49.01796,8.41407
5466,49.01674,8.4158
5467,49.01312,8.41926
5468,49.01291,8.41952
5470,49.0103,8.4189
5471,49.01075,8.41868
5472,49.0109,8.41972
5475,49.01001,8.41915
5476,49.01413,8.42058
5477,49.0141,8.42141
5478,49.01461,8.42085
5479,49.01379,8.41948
5480,49.01479,8.4205
5481,49.01462,8.41951
5482,49.01507,8.42077
5483,49.01552,8.42021
5484,49.01545,8.41968
5485,49.02377,8.43121
5486,49.0242,8.43189
5487,49.02339,8.43143
5488,49.02387,8.43239
5490,49.02176,8.43091
5491,49.02138,8.4316
5492,49.02273,8.43024
5493,49.02275,8.42952
5516,49.01057,8.41278
5518,49.01106,8.41206
5519,49.01076,8.41382
5520,49.01056,8.41378
5521,49.0108,8.41346
5523,49.01019,8.41153
20630,49.01299,8.40831
20651,49.01095,8.41613
20830,49.01523,8.41763
21230,49.01179,8.42511
22061,49.02212,8.3666
22064,49.01175,8.41083
22065,49.01172,8.41362
22066,49.01251,8.41722
22112,49.02104,8.43158
22113,49.02138,8.43249
22115,49.02276,8.43357
22119,49.02373,8.43287
22122,49.02133,8.43303
22123,49.02265,8.42849
22124,49.02248,8.43028
22150,49.0112,8.41678
22170,49.009,8.40549
22250,49.01082,8.41367
22251,49.01401,8.4139
22930,49.01112,8.4153
23791,49.01299,8.42429
23792,49.0139,8.4242
24028,49.02232,8.43071
24451,49.01313,8.41098
24590,49.01997,8.43935
24670,49.0129,8.41176
26210,49.02022,8.44001
26270,49.01119,8.41838
26450,49.02352,8.36766
26970,49.01196,8.41151
27731,49.00638,8.41064
27732,49.00871,8.41039
29779,49.01223,8.39527
29780,49.01223,8.39527
29860,49.01223,8.39527
30119,49.09128,8.42664
30120,49.09132,8.42737
30121,49.09135,8.42472
30122,49.09188,8.42703
30125,49.09316,8.42578
30126,49.09202,8.42823
30127,49.09209,8.42739
30128,49.09237,8.42802
30130,49.09247,8.42707
30131,49.09195,8.4285
30135,49.09339,8.428
30136,49.09347,8.4275
30137,49.09373,8.4276
30138,49.09306,8.42916
30139,49.09472,8.42571
30140,49.09415,8.42627
30141,49.09154,8.4296
30142,49.09117,8.42915
30143,49.09084,8.42967
30144,49.09109,8.4309
30145,49.09224,8.43081
30146,49.09206,8.42882
30147,49.09185,8.4292
30148,49.09197,8.42955
30149,49.09175,8.42975
30150,49.0919,8.43024
30151,49.0916,8.43055
30152,49.09181,8.43079
30153,49.09147,8.43126
30154,49.09159,8.43143
30155,49.09288,8.43057
30156,49.09145,8.43303
30157,49.09123,8.43308
30158,49.09122,8.43564
30159,49.09313,8.43255
30161,49.09301,8.43266
30166,49.09281,8.43092
30167,49.09246,8.43137
30169,49.09281,8.43223
30170,49.092,8.43176
30171,49.09296,8.43112
30172,49.0929,8.4316
30173,49.09279,8.43137
30175,49.09258,8.43318
30176,49.09203,8.43408
30178,49.09154,8.43495
30179,49.09173,8.43522
30180,49.09232,8.43511
30181,49.09205,8.43297
30182,49.09246,8.4335
30183,49.0921,8.43571
30184,49.09207,8.43502
30185,49.09251,8.43428
30188,49.09272,8.43538
30192,49.09259,8.43519
30193,49.09295,8.43405
30194,49.09257,8.43557
30195,49.09245,8.43597
30196,49.09416,8.42953
30197,49.09466,8.42966
30199,49.09473,8.42831
30200,49.09512,8.42749
30201,49.09499,8.42812
30202,49.09505,8.42717
30203,49.09439,8.42891
30205,49.09412,8.42919
30206,49.09467,8.42899
30209,49.09442,8.42758
30210,49.09477,8.42941
30211,49.09592,8.42692
30212,49.09461,8.42648
30213,49.0945,8.42695
30214,49.09481,8.4292
30217,49.09536,8.42998
30218,49.09546,8.4293
30220,49.09601,8.42819
30221,49.09524,8.42886
30222,49.09584,8.42926
30223,49.09514,8.42932
30224,49.09599,8.42904
30225,49.09638,8.42615
30226,49.09547,8.42617
30230,49.09675,8.43046
30231,49.09667,8.42926
30232,49.09728,8.42617
30233,49.09643,8.42993
30234,49.09689,8.43043
30235,49.09711,8.42838
30236,49.09699,8.42937
30237,49.09736,8.42658
30238,49.09716,8.42748
30247,49.09299,8.43623
30248,49.09408,8.4306
30250,49.09433,8.43155
30251,49.0942,8.43186
30252,49.0939,8.43219
30254,49.09352,8.43229
30255,49.09363,8.43322
30262,49.09352,8.43229
30263,49.09352,8.43229
30264,49.09382,8.43167
30265,49.09393,8.43258
30266,49.09396,8.43336
30267,49.09376,8.43375
30268,49.09417,8.4326
30269,49.09289,8.43596
30270,49.09313,8.43548
30271,49.09289,8.43542
30273,49.09344,8.43533
30274,49.09324,8.43412
30275,49.0936,8.43443
30276,49.09392,8.43408
30277,49.09384,8.43481
