identification_number,floor,name,number,parent_building_identification_number,type,geographical_location_id
r-7184,-1,Chemie-Labor,-106,b-5345,4,5345
r-7185,-1,Chemie-Labor,-107,b-5345,4,5345
r-7186,-1,Messraum (mit luftt.Anf.),-108,b-5345,4,5345
r-7187,-1,Messraum,-109,b-5345,4,5345
r-7189,-1,Chemie-Labor,-111,b-5345,4,5345
r-7205,0,Elektronik-Labor,001,b-5346,4,5346
r-7294,0,Technolog. Labor,014,b-5347,4,5347
r-7295,0,Messraum (mit luftt.Anf.),015,b-5347,4,5347
r-7296,0,Messraum (mit luftt.Anf.),016,b-5347,4,5347
r-7297,0,Physik-Labor,017,b-5347,4,5347
r-7299,0,Technolog. Labor,019,b-5347,4,5347
r-7300,0,Chemie-Labor,020,b-5347,4,5347
r-7338,1,Chemie-Labor,105,b-5347,4,5347
r-7339,1,Technolog. Labor,106,b-5347,4,5347
r-7340,1,Technolog. Labor,107,b-5347,4,5347
r-7383,2,Chemie-Labor,201,b-5347,4,5347
r-7385,2,Chemie-Labor,203,b-5347,4,5347
r-7387,2,Chemie-Labor,205,b-5347,4,5347
r-7392,2,Labor S1,208,b-5347,4,5347
r-7393,2,Labor S1,209,b-5347,4,5347
r-7396,2,Labor S1,212,b-5347,4,5347
r-7397,2,Dünnschliff-Labor (Regionale Geologie),213,b-5347,4,5347
r-7400,2,Chemie-Labor,216,b-5347,4,5347
r-7459,-1,Chemie-Labor,-119,b-5347,4,5347
r-7462,-1,Technolog. Labor,-122,b-5347,4,5347
r-7482,0,Physik-Labor (mit EM Abschirm.),006,b-5348,4,5348
r-10433,-1,Labor Grobstruktur,-110,b-5394,4,5394
r-10438,-1,Chemie-Labor,-115,b-5394,4,5394
r-10451,0,Maschinen-Labor,004,b-5516,4,5516
r-10478,0,Maschinen-Labor,027,b-5516,4,5516
r-10479,0,Maschinen-Labor,028,b-5516,4,5516
r-10520,-1,Maschinen-Labor,-102,b-5516,4,5516
r-10521,-1,Maschinen-Labor,-103,b-5516,4,5516
r-10529,-1,Technolog. Labor,-111,b-5516,4,5516
r-10530,-1,Maschinen-Labor,-112,b-5516,4,5516
r-10531,-1,Maschinen-Labor,-113.1,b-5516,4,5516
r-13105,-1,Labor TM-Elektronenmikroskop,-110.1,b-5414,4,5414
r-13106,-1,Labor-Technikraum,-110.2,b-5414,4,5414
r-13110,-1,"Labor TM-Präparation, Technikr.",-108.2,b-5414,4,5414
r-13128,-1,Labor Raster-Elektronenmikroskop,-133.1,b-5414,4,5414
r-13129,-1,Labor Raster-Elektronenmikroskop,-133.2,b-5414,4,5414
r-13143,-1,Messraum,-145,b-5414,4,5414
r-13144,-1,Maschinen-Labor,-146,b-5414,4,5414
r-13165,1,Labor,101,b-5415,4,5415
r-13166,1,Labor,102,b-5415,4,5415
r-7036,0,Behindertentoilette,005,b-5343,2,5343
r-6715,1,Büro Prof. Heck,112,b-5335,3,5335
r-6799,2,Sekretariat Prof. Mitusch,206,b-5340,3,5340
r-7117,0,Büro Prof. Schultmann,022,b-5345,3,5345
r-7142,1,Büro Prof. Knauth,119,b-5345,3,5345
r-7144,1,Sekretariat,121,b-5345,3,5345
r-7212,0,Büro Prof. Bolz,006.3,b-5346,3,5346
r-7282,0,Arbeitsraum,002,b-5347,3,5347
r-7286,0,Hausmeister,006,b-5347,3,5347
r-7394,2,Sekretariat,210,b-5347,3,5347
r-7398,2,Büro Dünnschlifflabor,214,b-5347,3,5347
r-7406,2,Büro Prof. Eisbacher,222,b-5347,3,5347
r-6718,1,Seminarraum,115,b-5335,5,5335
r-6730,1,Seminarraum (K1),101,b-5337,5,5337
r-6752,1,Seminarraum,112,b-5338,5,5338
r-6827,4,Seminarraum,404,b-5340,5,5340
r-7050,0,Seminarraum,017,b-5343,5,5343
r-7112,0,Seminarraum,017,b-5345,5,5345
r-7138,1,Seminarraum,115,b-5345,5,5345
r-7346,1,Seminarraum,112,b-5347,5,5347
r-7347,1,Seminarraum,113,b-5347,5,5347
r-7356,1,Seminarraum (ZVW),120.1,b-5347,5,5347
r-7359,1,Seminarraum,121,b-5347,5,5347
r-7403,2,Seminarraum 06.35 (ZVW),219,b-5347,5,5347
r-7426,3,Seminarraum ZDMKA,303,b-5347,5,5347
r-7596,1,Physik-Labor,101.1,b-5350,4,5350
r-7597,1,Vorbereitungsraum,101.2,b-5350,4,5350
r-7598,1,Technolog. Labor,102,b-5350,4,5350
r-7599,1,Physik-Labor,103,b-5350,4,5350
r-7600,1,Physik-Labor (mit EM Abschirm.),104,b-5350,4,5350
r-7638,2,Physik-Labor (mit lufttechn.Anf.),204,b-5350,4,5350
r-7643,2,Technolog. Labor,209,b-5350,4,5350
r-7648,2,Physik-Labor,214,b-5350,4,5350
r-7649,2,Physik-Labor,215,b-5350,4,5350
r-7651,2,Labor 1,216,b-5350,4,5350
r-7653,2,Isotopen-Labor,217.1,b-5350,4,5350
r-7730,0,Labor,001,b-5351,4,5351
r-7731,0,Messtechnik-Raum,003,b-5351,4,5351
r-7732,0,Elektronik-Labor,005,b-5351,4,5351
r-7733,0,Chemie-Labor,006,b-5351,4,5351
r-7740,0,Technolog. Labor,011,b-5351,4,5351
r-7747,0,Technolog. Labor,016,b-5351,4,5351
r-7778,1,Technolog. Labor,119,b-5351,4,5351
r-7787,1,Technolog. Labor,128,b-5351,4,5351
r-7912,-1,Messraum,-109,b-5352,4,5352
r-7957,0,Labor (mit Hygieneanford.),005,b-5356,4,5356
r-7958,0,Chemie-Labor,006,b-5356,4,5356
r-7960,0,Labor (mit Hygieneanford.),008,b-5356,4,5356
r-7967,1,Labor (mit Hygieneanford.),103,b-5356,4,5356
r-7969,1,Messraum,105,b-5356,4,5356
r-7981,2,Labor (mit Hygieneanford.),206,b-5356,4,5356
r-7993,-1,Technisches Labor (mit Berstschutz),-105,b-5356,4,5356
r-7994,-1,Chemie-Labor,-106,b-5356,4,5356
r-7995,-1,Labor (mit Hygieneanford.),-107,b-5356,4,5356
r-7996,-1,Physik-Labor,-108,b-5356,4,5356
r-13167,1,Labor,103.1,b-5415,4,5415
r-13171,1,Labor,106,b-5415,4,5415
r-13172,1,Labor,107,b-5415,4,5415
